	cancer	sample	D_APOBEC_inRloops	D_APOBEC_outsideRloops
72	BRCA	8e03e773-5557-4e78-889b-4710c515378f	3.4137703963952468e-06	4.416091724130561e-06
73	BRCA	8f558713-f32b-403b-aedf-c79efeb41c67	1.2948784262188866e-06	2.0192983867462675e-06
74	BRCA	9032b7fe-e38a-4641-a45e-67041668adc4	4.414358271200751e-06	4.760630766379553e-06
75	BRCA	97064332-1d4f-4571-93ff-354ffe6d7df9	1.5303108673495935e-06	2.223025820423932e-06
76	BRCA	987528ac-437a-4eb8-a335-4f2076d5c006	4.473216381483427e-06	5.974007393430352e-06
77	BRCA	987d41ee-6bab-490c-b0f2-bf28c0089de9	1.606826410717073e-05	1.7841130405154334e-05
78	BRCA	98bb3025-0637-4106-8621-12df7b5d662f	9.952906448800625e-05	0.00011305674172441713
79	BRCA	9c70688d-6e43-4520-9262-eaae4e4d597d	2.2366081907417135e-06	2.2410017704543147e-06
80	BRCA	9ddf2119-a222-4fa5-a9f3-0bec7eeea36b	2.3778676554201373e-05	2.4189636757550982e-05
81	BRCA	a6c14ebc-81a2-44f7-af87-2b7ec85e5696	2.3543244113070666e-06	3.2446589804839873e-06
82	BRCA	a85cf239-ff51-46e7-9b88-4c2cb49c66b9	4.06120960950469e-06	5.488656742610032e-06
83	BRCA	a876398c-5b1d-444f-a360-5fe2db697480	5.061797484310194e-06	7.900430038352978e-06
84	BRCA	aa58c09a-7799-4675-8310-d270224b163e	1.7068851981976234e-06	1.1294888602423484e-06
85	BRCA	aacaba97-ecde-440b-aae0-0e9c608c4b24	1.8834595290456535e-06	2.0882061951960656e-06
86	BRCA	b27d75ba-5989-4200-bfe9-f1b7d7cf8008	9.005290873249531e-06	8.999958981878023e-06
87	BRCA	b752b444-f033-4be4-9d24-e5e80b4181af	3.70806094780863e-06	4.476011557565169e-06
88	BRCA	c61ded54-f80e-4da8-b1d8-e22551c96118	2.5897568524377732e-06	2.7503203546484767e-06
89	BRCA	c67409b2-ac25-42a0-8543-4636ef132fe4	1.1771622056535333e-06	2.0073144200593457e-06
90	BRCA	cc4f9175-a8c8-424a-99d7-8bd11cae0e52	1.1830480166818011e-05	1.446165179944248e-05
91	BRCA	d5372745-95cf-4572-a6e7-e7f5b796911a	4.473216381483427e-06	4.3262119739786495e-06
92	BRCA	d8c6d4b8-f279-4edc-aaa3-a1cc266aec4d	2.224836568685178e-05	2.2433985637916987e-05
93	BRCA	d8fbb398-d1da-4444-984a-22c8523625da	8.534425990988117e-06	9.224658357257799e-06
94	BRCA	dabb5a94-9706-4429-8db0-c328e2004340	9.417297645228267e-07	1.6028555443757464e-06
95	BRCA	db45d81f-695c-4f99-beea-6dbec1ff47fc	3.43142782948005e-05	3.683272161225313e-05
96	BRCA	ddc7377d-82c3-480a-be3c-3d1da52c77d4	6.044727926030894e-05	7.876162505811962e-05
97	BRCA	df291849-4c35-44e1-b013-8f6b7ee36113	3.825777168373984e-06	4.526943415984585e-06
98	BRCA	e5593865-5f8e-4a4c-b36f-73fbe64d66da	3.2960541758298936e-06	4.90144237495088e-06
99	BRCA	e55f338f-97e2-4394-ae23-c92606069485	9.417297645228267e-07	1.6118435193909374e-06
100	BRCA	e7dc7492-3a84-49c7-8dea-8f508b53dc40	7.651554336747967e-07	1.3392082772634741e-06
101	BRCA	e8392f20-c9e3-4649-b64f-5b266c393a76	2.1777500804590367e-06	1.7676350863209165e-06
102	BRCA	ea43434b-197e-48ac-ae2e-46bc7f3776de	1.324307481360225e-05	1.1055209268685055e-05
103	BRCA	ec4d4cbc-d5d1-418d-a292-cad9576624fd	2.1777500804590367e-06	3.2266830304536052e-06
104	BRCA	eddfbfb9-3ae8-449b-b870-46062a2571c1	2.47204063187242e-06	4.532935399328045e-06
105	BRCA	f39cc911-36a7-4c06-9e91-4ad86281db3d	1.8834595290456535e-06	3.0439275384780526e-06
106	BRCA	f6114c69-71a1-47d5-9b28-b0227b1872f7	4.355500160918073e-06	7.18438802880942e-06
107	BRCA	f69e5057-eda6-4391-ba9a-aedbf6b572da	5.2972299254409e-06	8.065209580298147e-06
108	BRCA	f848b66f-bd9e-4fba-afd4-eb58848d1ef4	4.532074491766103e-06	5.686392192944237e-06
109	BRCA	f8f749b7-547d-49fa-9da2-44eed962b6fd	1.5420824894061286e-05	1.708014852053482e-05
110	BRCA	f9f04e42-63a2-4ee1-ade4-9e5bb5c20cdd	1.4125946467842402e-06	1.6418034361082411e-06
111	BRCA	fb9135d9-2acf-41dd-8552-359e6b8c9470	1.306650048275422e-05	1.942001801615624e-05
112	BRCA	fc6d77a9-121b-48ab-a899-713c3d1319a2	2.530898742155097e-06	3.2776148888730216e-06
113	BRCA	fe04d042-a4cc-4a14-8197-415ea40951aa	2.207179135600375e-05	2.5441961276334275e-05
114	CESC	047f9e4d-86b5-4943-aef5-68199bf29e8c	1.7009993871693558e-05	1.803886585548854e-05
115	CESC	06dad93a-4b67-49b3-8fa5-f2546e22bae7	1.1418473394839274e-05	1.167837553640497e-05
116	CESC	07d20658-3db4-47e7-877b-66536266edfc	5.532662366571607e-06	9.212674390570878e-06
117	CESC	0d31a44f-1fc5-43a2-9633-36c4e650d3d2	1.1183040953708567e-06	1.55192368595633e-06
118	CESC	0f6b355e-3898-4be6-be97-da0c3840a4ed	1.4714527570669167e-06	2.663436596168296e-06
119	CESC	14b8bbf2-310b-459b-b52d-a7ef510ce1cf	7.710412447030643e-06	7.579858929477829e-06
